"R0","waneRate","OPVtrans","ramp","vaccRate","finalPrev","min0t50","avg15t50"
4,0.07,0.05,2,2.9,5.63234836259021e-322,3.98136564285e-79,8.18865134067e-20
4,0.07,0.05,2,3,6.27463370218383e-322,1.83878592903e-79,6.53078342469e-20
5,0.07,0.05,2,0,0.00333962169987,0.00333960053551,0.00333984227865
5,0.07,0.05,2,0.1,0.00246411948111,0.00186656079957,0.00248123837114
5,0.07,0.05,2,0.2,0.00172517507493,0.000861245673256,0.00172151877596
5,0.07,0.05,2,0.3,0.00109840103219,0.00028895112353,0.00109360275456
5,0.07,0.05,2,0.4,0.000558749211582,5.39770776828e-05,0.000727289967935
5,0.07,0.05,2,0.5,8.35387392264e-05,3.1642169837e-06,0.000296486131316
5,0.07,0.05,2,0.6,1.7582421205e-202,3.79141046362e-09,3.45479208247e-08
5,0.07,0.05,2,0.7,1.53654415856628e-321,3.77830563204e-24,2.77522660513e-11
5,0.07,0.05,2,0.8,1.43279037293961e-322,2.16960249351e-35,7.58711333677e-13
5,0.07,0.05,2,0.9,1.38832446481390e-321,6.9885370737e-44,4.39578607026e-14
5,0.07,0.05,2,1,1.13635098543487e-322,2.28514081738e-50,4.29492139131e-15
5,0.07,0.05,2,1.1,1.28457067918724e-322,2.19696827865e-55,6.2125497726e-16
5,0.07,0.05,2,1.2,1.13635098543487e-322,2.52617571304e-59,1.21655881755e-16
5,0.07,0.05,2,1.3,5.92878775009496e-323,1.82518668385e-62,3.02310557028e-17
5,0.07,0.05,2,1.4,3.35964639172048e-322,5.18240132148e-65,9.08223491152e-18
5,0.07,0.05,2,1.5,3.95252516672997e-322,4.10723626942e-67,3.18026164024e-18
5,0.07,0.05,2,1.6,3.95252516672997e-322,7.11601877717e-69,1.26209628374e-18
5,0.07,0.05,2,1.7,4.10074486048235e-322,2.25352631298e-70,5.55464272512e-19
5,0.07,0.05,2,1.8,1.97626258336499e-322,1.13909888939e-71,2.66481788911e-19
5,0.07,0.05,2,1.9,9.38724727098368e-323,8.39299711223e-73,1.37519967233e-19
5,0.07,0.05,2,2,6.71929278344095e-322,8.38727151487e-74,7.5517666508e-20
5,0.07,0.05,2,2.1,1.37350249543867e-321,1.06799492345e-74,4.3734430362e-20
5,0.07,0.05,2,2.2,4.39718424798709e-322,1.66787721621e-75,2.65229925075e-20
5,0.07,0.05,2,2.3,1.04247851272503e-321,3.09302296498e-76,1.67460990705e-20
