"R0","waneRate","OPVtrans","ramp","vaccRate","finalPrev","lambdaIoutReinfF","lambdaIoutReinf0t5F","lambdaIoutReinf5t15F","lambdaIoutReinf15p","lambdaIoutF","lambdaIout0t5F","lambdaIout5t15F","lambdaIout15p"
6,0.07,0.05,2,1.3,2.27270197086973e-321,4.39718424798709e-322,0,0,4.39718424798709e-322,1.19563886293582e-321,2.71736105212686e-322,2.02566914794911e-322,7.2133584292822e-322
6,0.07,0.05,2,1.4,2.31716787899545e-321,4.39718424798709e-322,0,0,4.39718424798709e-322,1.17093558064375e-321,2.47032822920623e-322,2.02566914794911e-322,7.2133584292822e-322
6,0.07,0.05,2,1.5,2.01578783503229e-321,3.85371203756172e-322,0,0,3.85371203756172e-322,1.00789391751614e-321,1.48219693752374e-322,1.97626258336499e-322,6.6204796542727e-322
6,0.07,0.05,2,1.6,1.87744945419674e-321,3.6066792146411e-322,0,0,3.6066792146411e-322,9.33784070639956e-322,9.88131291682493e-323,1.97626258336499e-322,6.37344683135208e-322
6,0.07,0.05,2,1.7,1.88733076711356e-321,3.55727265005698e-322,0,0,3.55727265005698e-322,9.28843414181544e-322,9.88131291682493e-323,1.97626258336499e-322,6.32404026676796e-322
6,0.07,0.05,2,1.8,2.29246459670338e-321,4.34777768340297e-322,0,0,4.34777768340297e-322,1.11658835960122e-321,1.97626258336499e-322,2.02566914794911e-322,7.16395186469807e-322
6,0.07,0.05,2,1.9,1.8231022331542e-321,3.31023982713635e-322,0,0,3.31023982713635e-322,9.43665383556781e-322,1.72922976044436e-322,2.02566914794911e-322,5.68175492717434e-322
6,0.07,0.05,2,2,1.77863632502849e-321,3.31023982713635e-322,0,0,3.31023982713635e-322,9.68368665848843e-322,1.97626258336499e-322,1.92685601878086e-322,5.78056805634258e-322
6,0.07,0.05,2,2.1,2.060253743158e-321,4.0019317313141e-322,0,0,4.0019317313141e-322,1.03753785626662e-321,1.48219693752374e-322,2.02566914794911e-322,6.86751247719333e-322
6,0.07,0.05,2,2.2,1.99602520919864e-321,3.8043054729776e-322,0,0,3.8043054729776e-322,9.58487352932018e-322,9.88131291682493e-323,1.97626258336499e-322,6.6204796542727e-322
6,0.07,0.05,2,2.3,2.00590652211546e-321,3.70549234380935e-322,0,0,3.70549234380935e-322,9.48606040015193e-322,9.88131291682493e-323,1.97626258336499e-322,6.52166652510445e-322
6,0.07,0.05,2,2.4,1.80333960732055e-321,3.4090529563046e-322,0,0,3.4090529563046e-322,9.88131291682493e-322,2.17388884170148e-322,1.82804288961261e-322,5.87938118551083e-322
6,0.07,0.05,2,2.5,2.11460096420054e-321,3.90311860214585e-322,0,0,3.90311860214585e-322,1.01777523043297e-321,1.48219693752374e-322,2.02566914794911e-322,6.66988621885683e-322
