"R0","waneRate","OPVtrans","ramp","vaccRate","finalPrev"
4,0.07,0.025,2,0,0.00306037235251
4,0.07,0.025,2,0.1,0.00217784223104
4,0.07,0.025,2,0.2,0.00143408863852
4,0.07,0.025,2,0.3,0.000798414595339
4,0.07,0.025,2,0.4,0.000245282390181
4,0.07,0.025,2,0.5,4.64308217578e-147
4,0.07,0.025,2,0.6,3.83889006818649e-321
4,0.07,0.025,2,0.7,2.87052140233764e-321
4,0.07,0.025,2,0.8,2.53949741962401e-321
4,0.07,0.025,2,0.9,2.30234590962021e-321
4,0.07,0.025,2,1,1.20057951939423e-321
4,0.07,0.025,2,1.1,1.07212245147551e-321
4,0.07,0.025,2,1.2,1.03753785626662e-321
4,0.07,0.025,2,1.3,1.25986739689518e-321
4,0.07,0.025,2,1.4,1.08200376439233e-321
4,0.07,0.025,2,1.5,1.11164770314280e-321
4,0.07,0.025,2,1.6,1.16105426772693e-321
4,0.07,0.025,2,1.7,1.09188507730915e-321
4,0.07,0.025,2,1.8,1.26480805335359e-321
4,0.07,0.025,2,1.9,1.26480805335359e-321
4,0.07,0.025,2,2,9.14021444806306e-322
4,0.07,0.025,2,2.1,2.37151510003798e-322
4,0.07,0.025,2,2.2,2.71736105212686e-322
4,0.07,0.025,2,2.3,6.02760087926321e-322
4,0.07,0.025,2,2.4,5.43472210425371e-322
4,0.07,0.025,2,2.5,5.43472210425371e-322
4,0.07,0.025,2,2.6,6.4228533959362e-322
4,0.07,0.025,2,2.7,7.26276499386632e-322
4,0.07,0.025,2,2.8,4.89124989382834e-322
4,0.07,0.025,2,2.9,1.26974870981200e-321
4,0.07,0.025,2,3,1.26480805335359e-321
6,0.07,0.025,2,0,0.00356545315135
6,0.07,0.025,2,0.1,0.00273685720829
6,0.07,0.025,2,0.2,0.00203221291279
6,0.07,0.025,2,0.3,0.00143460245718
6,0.07,0.025,2,0.4,0.000923454705013
6,0.07,0.025,2,0.5,0.000478973246194
6,0.07,0.025,2,0.6,8.52650475062e-05
6,0.07,0.025,2,0.7,4.99992629805e-173
6,0.07,0.025,2,0.8,5.46436604300419e-321
6,0.07,0.025,2,0.9,4.06121960881505e-321
6,0.07,0.025,2,1,2.89028402817129e-321
6,0.07,0.025,2,1.1,2.62842923587543e-321
6,0.07,0.025,2,1.2,2.33693050482910e-321
6,0.07,0.025,2,1.3,3.58691658880745e-321
6,0.07,0.025,2,1.4,3.02368175254843e-321
6,0.07,0.025,2,1.5,2.46044691628941e-321
6,0.07,0.025,2,1.6,2.61854792295861e-321
6,0.07,0.025,2,1.7,2.41598100816370e-321
6,0.07,0.025,2,1.8,3.14719816400874e-321
6,0.07,0.025,2,1.9,3.14719816400874e-321
6,0.07,0.025,2,2,1.99602520919864e-321
6,0.07,0.025,2,2.1,4.15015142506647e-322
6,0.07,0.025,2,2.2,5.73116149175846e-322
6,0.07,0.025,2,2.3,7.50979781678695e-322
6,0.07,0.025,2,2.4,6.8181059126092e-322
6,0.07,0.025,2,2.5,7.11454530011395e-322
6,0.07,0.025,2,2.6,3.8043054729776e-322
6,0.07,0.025,2,2.7,1.46737496814850e-321
